timestamp,vehicle_count,ml_state,current_state
2025-09-13 01:00:31.170749,26,1,N/A
2025-09-13 01:00:31.170836,26,1,N/A
2025-09-13 01:00:31.170876,26,1,N/A
2025-09-13 01:00:31.170911,26,1,N/A
2025-09-13 01:00:31.170944,26,1,N/A
2025-09-13 01:00:31.170977,26,1,N/A
2025-09-13 01:00:31.171008,26,1,N/A
2025-09-13 01:00:31.171163,26,1,N/A
2025-09-13 01:00:31.171268,27,1,N/A
2025-09-13 01:00:31.171370,27,1,N/A
2025-09-13 01:00:31.171466,27,1,N/A
2025-09-13 01:00:31.171533,27,1,N/A
2025-09-13 01:00:31.171571,27,1,N/A
2025-09-13 01:00:31.171655,27,1,N/A
2025-09-13 01:00:31.171814,27,1,N/A
2025-09-13 01:00:31.171893,27,1,N/A
2025-09-13 01:00:31.171932,27,1,N/A
2025-09-13 01:00:31.171973,27,1,N/A
2025-09-13 01:00:31.172018,27,1,N/A
2025-09-13 01:00:31.172105,27,1,N/A
2025-09-13 01:00:31.172221,27,1,N/A
2025-09-13 01:00:31.172304,27,1,N/A
2025-09-13 01:00:31.172346,27,1,N/A
2025-09-13 01:00:31.172398,27,1,N/A
2025-09-13 01:00:31.172441,27,1,N/A
2025-09-13 01:00:31.172474,27,1,N/A
2025-09-13 01:00:31.172539,27,1,N/A
2025-09-13 01:00:31.172648,27,1,N/A
2025-09-13 01:00:31.172718,27,1,N/A
2025-09-13 01:00:31.172791,27,1,N/A
2025-09-13 01:00:31.172831,27,1,N/A
2025-09-13 01:00:31.172867,27,1,N/A
2025-09-13 01:00:31.172926,27,1,N/A
2025-09-13 01:00:31.172991,27,1,N/A
2025-09-13 01:00:31.173035,27,1,N/A
2025-09-13 01:00:31.173072,27,1,N/A
2025-09-13 01:00:31.173161,27,1,N/A
2025-09-13 01:00:31.173241,27,1,N/A
2025-09-13 01:00:31.173292,28,1,N/A
2025-09-13 01:00:31.173332,28,1,N/A
2025-09-13 01:00:31.173384,28,1,N/A
2025-09-13 01:00:31.173443,28,1,N/A
2025-09-13 01:00:31.173486,28,1,N/A
2025-09-13 01:00:31.173524,28,1,N/A
2025-09-13 01:00:31.173559,28,1,N/A
2025-09-13 01:00:31.173597,28,1,N/A
2025-09-13 01:00:31.173631,28,1,N/A
2025-09-13 01:00:31.173672,28,1,N/A
2025-09-13 01:00:31.173708,28,1,N/A
2025-09-13 01:00:31.173746,28,1,N/A
2025-09-13 01:00:31.173797,28,1,N/A
2025-09-13 01:00:31.173833,28,1,N/A
2025-09-13 01:00:31.173866,28,1,N/A
2025-09-13 01:00:31.173901,28,1,N/A
2025-09-13 01:00:31.173940,28,1,N/A
2025-09-13 01:00:31.174013,28,1,N/A
2025-09-13 01:00:31.174057,28,1,N/A
2025-09-13 01:00:31.174093,28,1,N/A
2025-09-13 01:00:31.174129,28,1,N/A
2025-09-13 01:00:31.174164,28,1,N/A
2025-09-13 01:00:31.174205,28,1,N/A
2025-09-13 01:00:31.174246,28,1,N/A
2025-09-13 01:00:31.174281,28,1,N/A
2025-09-13 01:00:31.174344,28,1,N/A
2025-09-13 01:00:31.174385,28,1,N/A
2025-09-13 01:00:31.174422,28,1,N/A
2025-09-13 01:00:31.174459,28,1,N/A
2025-09-13 01:00:31.174499,28,1,N/A
2025-09-13 01:00:31.174535,29,1,N/A
2025-09-13 01:00:31.174569,29,1,N/A
2025-09-13 01:00:31.174604,29,1,N/A
2025-09-13 01:00:31.174637,29,1,N/A
2025-09-13 01:00:31.174669,29,1,N/A
2025-09-13 01:00:31.174701,29,1,N/A
2025-09-13 01:00:31.174734,29,1,N/A
2025-09-13 01:00:31.174766,29,1,N/A
2025-09-13 01:00:31.174798,29,1,N/A
2025-09-13 01:00:31.174830,29,1,N/A
2025-09-13 01:00:31.174862,29,1,N/A
2025-09-13 01:00:31.174894,29,1,N/A
2025-09-13 01:00:31.174926,29,1,N/A
2025-09-13 01:00:31.174965,29,1,N/A
2025-09-13 01:00:31.174998,29,1,N/A
2025-09-13 01:00:31.175030,29,1,N/A
2025-09-13 01:00:31.175058,29,1,N/A
2025-09-13 01:00:31.175095,29,1,N/A
2025-09-13 01:00:31.175131,29,1,N/A
2025-09-13 01:00:31.175160,29,1,N/A
2025-09-13 01:00:31.175189,29,1,N/A
2025-09-13 01:00:31.175217,29,1,N/A
2025-09-13 01:00:31.175246,29,1,N/A
2025-09-13 01:00:31.175275,29,1,N/A
2025-09-13 01:00:31.175303,29,1,N/A
2025-09-13 01:00:31.175332,29,1,N/A
2025-09-13 01:00:31.175361,29,1,N/A
2025-09-13 01:00:31.175390,29,1,N/A
2025-09-13 01:00:31.175421,29,1,N/A
2025-09-13 01:00:31.175451,29,1,N/A
2025-09-13 01:00:31.175479,30,1,N/A
2025-09-13 01:00:31.175508,30,1,N/A
2025-09-13 01:00:31.175548,30,1,N/A
2025-09-13 01:00:31.175587,30,1,N/A
2025-09-13 01:00:31.175634,30,1,N/A
2025-09-13 01:00:31.175672,30,1,N/A
2025-09-13 01:00:31.175705,30,1,N/A
2025-09-13 01:00:31.175762,30,1,N/A
2025-09-13 01:00:31.175797,30,1,N/A
2025-09-13 01:00:31.175828,30,1,N/A
2025-09-13 01:00:31.175858,30,1,N/A
2025-09-13 01:00:31.175888,30,1,N/A
2025-09-13 01:00:31.175918,30,1,N/A
2025-09-13 01:00:31.175948,30,1,N/A
2025-09-13 01:00:31.175982,30,1,N/A
2025-09-13 01:00:31.176023,30,1,N/A
2025-09-13 01:00:31.176054,30,1,N/A
2025-09-13 01:00:31.176084,30,1,N/A
2025-09-13 01:00:31.176125,30,1,N/A
2025-09-13 01:00:31.176155,30,1,N/A
