timestamp,state,ns_light,ew_light,vehicle_count,ml_state,emergency,duration
2025-09-13 02:25:57.587780,NS_Green,Green,Red,3,0,0,0.26926112174987793
2025-09-13 02:25:57.688819,NS_Green,Green,Red,4,0,0,0.3703000545501709
2025-09-13 02:25:57.789241,NS_Green,Green,Red,5,0,0,0.47072291374206543
2025-09-13 02:25:57.888582,NS_Green,Green,Red,4,0,0,0.5700640678405762
2025-09-13 02:25:57.988514,NS_Green,Green,Red,3,0,0,0.6699960231781006
2025-09-13 02:25:58.089086,NS_Green,Green,Red,5,0,0,0.7705709934234619
2025-09-13 02:25:58.188814,NS_Green,Green,Red,4,0,0,0.8703000545501709
2025-09-13 02:25:58.289280,NS_Green,Green,Red,3,0,0,0.9707629680633545
2025-09-13 02:25:58.389171,NS_Green,Green,Red,4,0,0,1.0706532001495361
2025-09-13 02:25:58.488614,NS_Green,Green,Red,5,0,0,1.1700961589813232
2025-09-13 02:25:58.589143,NS_Green,Green,Red,4,0,0,1.2706260681152344
2025-09-13 02:25:58.688704,NS_Green,Green,Red,3,0,0,1.370185136795044
2025-09-13 02:25:58.789062,NS_Green,Green,Red,4,0,0,1.4705519676208496
2025-09-13 02:25:58.888472,NS_Green,Green,Red,5,0,0,1.5699570178985596
2025-09-13 02:25:58.988438,NS_Green,Green,Red,4,0,0,1.6699249744415283
2025-09-13 02:25:59.088427,NS_Green,Green,Red,3,0,0,1.7699120044708252
2025-09-13 02:25:59.188689,NS_Green,Green,Red,4,0,0,1.8701732158660889
2025-09-13 02:25:59.288306,NS_Green,Green,Red,5,0,0,1.9697902202606201
2025-09-13 02:25:59.388341,NS_Green,Green,Red,4,0,0,2.069822072982788
2025-09-13 02:25:59.488326,NS_Green,Green,Red,3,0,0,2.169809103012085
2025-09-13 02:25:59.588368,NS_Green,Green,Red,5,0,0,2.269850015640259
2025-09-13 02:25:59.688668,NS_Green,Green,Red,4,0,0,2.370150089263916
2025-09-13 02:25:59.788236,NS_Green,Green,Red,3,0,0,2.4697179794311523
2025-09-13 02:25:59.888237,NS_Green,Green,Red,4,0,0,2.5697200298309326
2025-09-13 02:25:59.988275,NS_Green,Green,Red,5,0,0,2.6697580814361572
2025-09-13 02:26:00.088452,NS_Green,Green,Red,4,0,0,2.7699360847473145
2025-09-13 02:26:00.188532,NS_Green,Green,Red,3,0,0,2.870012044906616
2025-09-13 02:26:00.288229,NS_Green,Green,Red,4,0,0,2.969710111618042
2025-09-13 02:26:00.388322,NS_Green,Green,Red,5,0,0,3.0698060989379883
2025-09-13 02:26:00.488247,NS_Green,Green,Red,4,0,0,3.1697280406951904
2025-09-13 02:26:00.588597,NS_Green,Green,Red,3,0,0,3.2700870037078857
